"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39" "V40"
"1" -8.29761120897368 -11.6856662938868 13.158568935423 16.4420723473058 19.9776567844777 -29.9687902150542 -38.5938668532421 36.8194508937256 -27.5536035584675 -17.18366568598 10.2795991239499 5.07148108108509 1.24100945561668 1.46359411045873 3.80853033225677 -3.22078800822337 -4.12595760072388 -5.08562681804291 1.65922666476292 0.19822991702321 1 1 1 1 1 1 1 1 -1 1 1 1 -1 -1 -1 -1 1 -1 -1 1
"2" -3.80104048160847 -8.7974335975162 11.1458801056739 16.1154607872683 20.8026654959896 -32.5900800669058 -42.9938008025577 40.1842434883197 -28.1889605324099 -14.7087968891909 9.24647585030593 6.39012426031308 4.47487521802707 5.15673777385638 6.12064682737235 -6.72696759331899 -5.18467340815963 -6.53020774505922 4.18793069626791 2.11029461152306 1 1 1 1 1 1 1 1 -1 1 1 1 1 -1 -1 -1 1 -1 1 1
"3" -8.30559713431871 -13.8962617261778 16.5506631063883 20.8647020369171 26.440286724068 -36.5387776429631 -46.0863831492047 44.995802801009 -33.1683660602287 -19.6855193753819 13.1520808588233 8.28784242403908 5.46911164393518 6.12513289377974 5.02649918070296 -5.63169526396227 -5.36005326390574 -4.97287327985011 3.59192799079191 0.73182728185714 1 1 1 1 1 1 1 1 -1 1 1 1 1 -1 -1 -1 1 -1 1 -1
"4" -5.76801637427352 -10.6346736316039 15.9093136338375 18.2218743695598 24.1133187656121 -33.7975987871088 -39.0991193442022 34.9981776355789 -26.7646476183123 -15.0744198521915 10.9500211324856 6.51388776370148 4.25459081516659 2.74871275944304 1.97503663054615 -2.83141290984733 -4.17104763480864 -4.6226303709646 2.57478938489654 1.23016878644504 1 1 1 1 1 1 1 1 -1 1 1 1 1 -1 -1 -1 1 -1 -1 1
"5" -7.49656834892174 -11.955871582267 13.8385252490392 16.034833717136 21.1691297538383 -31.7654143263879 -39.5768264562066 37.3206445313055 -26.0589332469417 -15.960738724557 14.0380471010749 7.22969250523996 4.59057058011478 2.34450343412587 4.09305830425701 -2.06292070679661 -3.20492120392098 -1.69459671401292 0.0288651883078073 -1.15369620539362 1 1 1 1 1 1 1 1 -1 1 1 1 1 1 -1 -1 1 -1 -1 1
"6" -5.28286627075011 -8.68454964860658 11.7267572686239 16.1343483495895 18.7202346070678 -29.6564555952761 -36.1215003619277 32.2278157537848 -23.5177392353422 -14.8155804005826 9.03269166622114 5.66649009856319 4.22394486681108 4.70284079653416 4.14905880773649 -6.5862217769135 -5.13071823944655 -3.06194072190841 0.997271713730512 1.02364798171179 1 1 1 1 1 1 1 1 -1 1 1 1 1 -1 -1 -1 1 -1 -1 1
"7" -6.02158251245323 -9.71218005695478 12.1462611227119 15.6360471395619 19.8084821215284 -27.0094214043884 -31.8287526118409 31.478196140643 -23.5786880023731 -12.3161302563879 9.26037840443486 5.22754698010693 3.3302391920332 6.28260315046658 6.55940022569255 -5.93390969505054 -5.03044942258267 -5.89955234058731 2.24941981711699 0.314297693309488 1 1 1 1 1 1 1 1 -1 1 1 1 -1 -1 -1 -1 1 -1 1 1
"8" -4.9791906566945 -9.9713024622216 13.3085491101988 15.2667330892085 19.3064577685814 -27.124003087407 -32.8722806765597 30.6014114419088 -21.7461854907121 -12.2611294070189 8.82927863710835 6.75497215013958 4.31619074703867 4.0006643828716 5.99047137767819 -0.849422286559506 -2.4876364541428 -2.11216695627118 1.89867142975942 1.10982203320809 1 1 1 1 1 1 1 1 -1 1 1 1 1 -1 -1 -1 1 -1 -1 1
"9" -5.48363119068806 -10.7966244777946 14.5319637829033 17.6378973013923 20.9763842219383 -30.1223393510615 -35.5269227429328 31.4581968993 -23.3266368712462 -15.8943587334823 11.807718627954 6.9739477584651 3.87008348114926 2.19263601852673 3.28400796468161 -1.49898056962429 -2.74378538072547 0.205954330835411 -1.40567050140216 0.152836686507466 1 1 1 1 1 1 1 1 -1 1 1 1 1 -1 -1 -1 1 1 -1 1
"10" -5.22800794653891 -11.3700569416818 14.0385283486064 17.5152079089299 21.8321031367343 -31.0576653677633 -37.3125913873087 36.6645158836716 -26.3969204662511 -14.2624890888479 9.85677028783178 7.88967018305266 6.01886061529666 3.93667607792359 5.56898563881001 -7.01034415581287 -4.31455998919385 -4.29920944540825 4.94486084909231 2.29147801910578 1 1 1 1 1 1 1 1 -1 1 1 1 1 -1 -1 -1 1 -1 1 1
