"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39" "V40"
"1" -4.27339615690437 -6.76348854475784 8.47638030781259 10.9561266026148 14.2398854240714 -23.803419168702 -28.2958523306785 27.654381138827 -19.8999608673613 -12.1944882111301 8.25170166189725 5.92301174737291 4.93195184566026 4.51070186209174 4.59694949833789 -5.53514342336415 -4.24782319524302 -3.84215651891661 3.18817206040693 3.00249335604738 1 1 1 1 1 1 1 1 -1 1 1 1 1 -1 -1 -1 1 -1 1 1
"2" -4.8179365304717 -7.95797808349598 12.4603619437906 17.3186507316525 19.4519399149692 -26.5488347928681 -33.3797897921204 30.7793422847495 -21.8283716827249 -11.2483169087627 7.2825151277522 4.23176166217643 6.28718805597522 3.5510509417576 4.10633358688938 -6.40658559093686 -6.69755855532336 -6.23128164989835 4.90189289538225 1.88682417693399 1 1 1 1 1 1 1 1 -1 1 1 1 1 -1 -1 -1 1 -1 1 1
"3" -7.35376486219954 -10.6607137397441 13.2712251676917 19.8133448553926 24.1833804845344 -40.0738613036161 -49.454680163537 44.448062476488 -28.8759003400512 -14.4184435159287 10.6505746140952 7.46007603508695 4.69549660502124 3.87355563274002 4.59945571057921 -2.00639989227428 -0.194622472762316 -1.85862598494844 2.39601258635918 1.07553591379205 1 1 1 1 1 1 1 1 -1 1 1 1 1 -1 -1 -1 -1 1 1 -1
"4" -8.12967479466966 -11.5525736148655 16.2486137814035 18.0744268176315 22.3844024547039 -33.2216314936724 -39.3547822038567 37.0525676695859 -25.3184670894018 -16.6590858494951 10.284846777082 5.82313638539409 4.55264384048232 4.72401945829675 3.78624726294875 -3.96170476488075 -3.21817669152392 -1.60867245739877 -0.0112240513783246 -0.35147460587723 1 1 1 1 1 1 1 1 -1 1 1 1 1 -1 -1 -1 1 -1 1 -1
"5" -5.9069859520937 -7.98068634983419 9.49408217209062 13.7180267272983 17.6997976488652 -25.5446517380208 -33.4572073801568 30.5086465237375 -20.4289757846499 -12.2664396223669 6.96038705515442 4.70013798236607 4.18946815954823 4.63710580576254 5.38692108260281 -6.08800283684523 -6.15563640971795 -4.25651031537056 4.04031498730735 1.31050082475081 1 1 1 1 1 1 1 1 -1 1 1 1 1 1 -1 -1 1 -1 1 1
"6" -8.06522844590024 -10.0673856091341 12.6280790666971 15.2476025636637 17.9972626401777 -28.2962124054531 -35.2158701253738 30.9825512947379 -23.2751370880624 -12.4291580288498 9.07854757282023 6.37353678364183 4.8945228592462 3.70927194082425 6.60727578403459 -4.41594829145564 -2.63697818277539 -4.62218583149701 2.82567546867307 1.64543037421172 1 1 1 1 1 1 1 1 -1 1 1 1 1 -1 -1 -1 1 -1 -1 1
"7" -7.12399392400317 -10.8992158578249 13.253336565552 14.4907728302848 16.3992720379867 -27.2869874502882 -34.2288869928361 31.5017019868658 -22.1118681601814 -12.6205322747882 8.86026014125223 7.29660781335144 3.9013542409292 2.18913597213754 4.30201100203912 -5.33336689816462 -6.60380669741187 -6.31195658727333 3.62448729676443 1.57720697954447 1 1 1 1 1 1 1 1 -1 1 1 1 1 -1 -1 -1 1 -1 1 -1
"8" -3.661558259371 -8.56800902345326 11.4697711331673 14.2963850988447 17.4692967638606 -26.3677252587651 -32.4514326933654 30.8330206891175 -22.0609734832476 -13.5876610943748 9.69468832874085 5.99425630196138 4.24705884717423 -0.134500076174795 1.7449641771174 -1.25052355757203 0.0139398937945396 0.836226779478547 -0.814355151828386 0.587578739799191 1 1 1 1 1 1 1 1 -1 1 1 1 1 -1 1 -1 -1 -1 -1 -1
"9" -4.41438285350825 -9.9615930088586 11.4163185961272 15.3106458499704 20.6017912902745 -27.5536549528874 -37.3854773807912 33.1767512446952 -24.0082214600176 -13.668305041316 8.94222564962362 6.81256118194586 3.86560759106547 5.30209605957844 5.34460526547535 -3.64601216337417 -1.74046581751371 -3.63013518624273 1.58585627268587 -0.653598451669788 1 1 1 1 1 1 1 1 -1 1 1 1 1 -1 -1 -1 1 -1 1 -1
"10" -6.5160953101744 -13.0230889683653 15.2998491293735 16.9812385035801 18.3207559890492 -26.5640651836412 -32.4954567742039 30.9195584424517 -23.9259455763995 -13.9498417365605 10.7420548646917 6.33007198029594 4.95457530871791 2.21491818286374 0.525677596780718 -1.7624653962758 -4.45740532056442 -3.38851498548995 2.86274054490988 -0.700878262601707 1 1 1 1 1 1 1 1 -1 1 1 1 1 -1 1 -1 1 -1 1 -1
